Date,Price,Open,High,Low,Vol.,Change %,T+,range,TR
2019-01-01 00:00:00,3809.4,"3,709.50",3814.3,3664.4,469.11K,2.69,True,149.9000000000001,149.9000000000001
2019-01-02 00:00:00,3873.8,"3,809.70",3894.8,3768.1,554.47K,1.69,True,126.70000000000027,126.70000000000027
2019-01-03 00:00:00,3780.1,"3,874.10",3875.8,3753.0,450.32K,-2.42,False,122.80000000000018,122.80000000000018
2019-01-04 00:00:00,3802.7,"3,780.50",3823.9,3720.0,488.70K,0.6,True,103.90000000000009,103.90000000000009
2019-01-05 00:00:00,3785.4,"3,802.80",3846.7,3769.0,468.45K,-0.46,False,77.69999999999982,77.69999999999982
2019-01-06 00:00:00,4004.1,"3,785.70",4034.1,3758.5,529.89K,5.78,True,275.5999999999999,275.5999999999999
2019-01-07 00:00:00,3985.9,"4,004.30",4028.0,3945.5,500.88K,-0.45,False,82.5,82.5
2019-01-08 00:00:00,3971.0,"3,985.80",4070.5,3943.1,514.08K,-0.37,False,127.40000000000009,127.40000000000009
2019-01-09 00:00:00,3978.0,"3,971.00",4014.2,3957.5,473.42K,0.17,True,56.69999999999982,56.69999999999982
2019-01-10 00:00:00,3603.7,"3,978.90",4007.7,3562.1,697.31K,-9.41,False,445.5999999999999,445.5999999999999
2019-01-11 00:00:00,3616.5,"3,603.30",3655.7,3563.1,551.64K,0.35,True,92.59999999999991,92.59999999999991
2019-01-12 00:00:00,3597.2,"3,616.60",3633.9,3561.3,435.06K,-0.53,False,72.59999999999991,72.59999999999991
2019-01-13 00:00:00,3490.2,"3,597.30",3617.6,3473.2,452.79K,-2.98,False,144.4000000000001,144.4000000000001
2019-01-14 00:00:00,3638.1,"3,490.40",3672.0,3490.4,539.93K,4.24,True,181.5999999999999,181.80000000000018
2019-01-15 00:00:00,3571.3,"3,637.50",3660.8,3545.7,544.85K,-1.84,False,115.10000000000036,115.10000000000036
2019-01-16 00:00:00,3588.0,"3,570.60",3644.1,3561.4,487.34K,0.47,True,82.69999999999982,82.69999999999982
2019-01-17 00:00:00,3626.4,"3,588.10",3636.7,3554.8,525.10K,1.07,True,81.89999999999964,81.89999999999964
2019-01-18 00:00:00,3605.6,"3,626.30",3627.9,3575.7,488.16K,-0.57,False,52.20000000000027,52.20000000000027
2019-01-19 00:00:00,3677.8,"3,605.80",3715.2,3604.1,537.06K,2.0,True,111.09999999999991,111.09999999999991
2019-01-20 00:00:00,3542.3,"3,676.20",3699.1,3503.9,563.31K,-3.68,False,195.19999999999982,195.19999999999982
2019-01-21 00:00:00,3536.7,"3,542.70",3561.4,3505.4,394.17K,-0.16,False,56.0,56.0
2019-01-22 00:00:00,3580.1,"3,536.90",3607.9,3465.2,447.70K,1.23,True,142.70000000000027,142.70000000000027
2019-01-23 00:00:00,3561.5,"3,580.10",3608.3,3532.8,445.87K,-0.52,False,75.5,75.5
2019-01-24 00:00:00,3574.3,"3,561.40",3587.0,3539.7,428.60K,0.36,True,47.30000000000018,47.30000000000018
