Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,BA,BA,BA,BA,BA,,,
2020-01-02,2020,1,2,Thursday,00,2020-00,326.61,331.38,325.76,331.35,4544400,0.0,331.35,331.35
2020-01-03,2020,1,3,Friday,00,2020-00,328.67,332.91,328.35,330.79,3875900,-0.001680016725565392,331.07000000000005,331.07000000000005
2020-01-06,2020,1,6,Monday,01,2020-01,327.35,332.88,325.94,331.77,5355000,0.002944999944185067,331.30333333333334,331.30333333333334
2020-01-07,2020,1,7,Tuesday,01,2020-01,332.28,342.15,328.75,335.29,9898600,0.010607092373679627,332.3,332.3
2020-01-08,2020,1,8,Wednesday,01,2020-01,330.43,332.05,327.65,329.41,8239200,-0.01752258018477737,331.72200000000004,331.72200000000004
2020-01-09,2020,1,9,Thursday,01,2020-01,332.97,339.71,330.09,334.35,8175600,0.014998364848977763,332.16,332.16
2020-01-10,2020,1,10,Friday,01,2020-01,333.58,335.7,327.5,327.97,7161700,-0.01908779879963529,331.5614285714286,331.5614285714286
2020-01-13,2020,1,13,Monday,02,2020-02,330.43,332.12,328.13,328.27,5648500,0.0009092873297715798,331.15000000000003,331.15000000000003
2020-01-14,2020,1,14,Tuesday,02,2020-02,328.8,333.37,326.34,330.38,6945300,0.006450242408184703,331.06444444444446,331.06444444444446
2020-01-15,2020,1,15,Wednesday,02,2020-02,330.38,331.14,327.74,327.85,4578300,-0.007672616553080935,330.74300000000005,330.74300000000005
2020-01-16,2020,1,16,Thursday,02,2020-02,329.09,330.9,327.36,330.04,4024100,0.006670688521953183,330.6790909090909,330.6790909090909
2020-01-17,2020,1,17,Friday,02,2020-02,330.42,330.53,321.09,322.23,11061700,-0.023644540100855926,329.975,329.975
2020-01-21,2020,1,21,Tuesday,03,2020-03,320.69,324.67,303.94,311.52,19318000,-0.03325622636774106,328.55538461538464,328.55538461538464
2020-01-22,2020,1,22,Wednesday,03,2020-03,307.99,310.99,300.93,307.17,18792600,-0.01394515455131018,327.02785714285716,327.02785714285716
2020-01-23,2020,1,23,Thursday,03,2020-03,306.68,316.29,305.88,315.91,9702100,0.028446585370554667,325.925,326.2866666666667
2020-01-24,2020,1,24,Friday,03,2020-03,320.1,324.27,310.66,321.14,17798200,0.016551785963208276,325.2357142857143,325.96500000000003
2020-01-27,2020,1,27,Monday,04,2020-04,314.34,319.36,312.72,314.73,7468100,-0.019965897859118065,324.0185714285714,325.30411764705883
2020-01-28,2020,1,28,Tuesday,04,2020-04,316.17,317.47,312.14,314.69,5502200,-0.00012634551182533205,322.5471428571429,324.7144444444445
2020-01-29,2020,1,29,Wednesday,04,2020-04,322.43,325.24,317.25,320.12,12454700,0.01724780823933081,321.8835714285715,324.4726315789474
2020-01-30,2020,1,30,Thursday,04,2020-04,318.6,323.43,315.76,321.39,6022000,0.0039749117716398885,320.9578571428571,324.3185
2020-01-31,2020,1,31,Friday,04,2020-04,319.85,320.03,315.12,316.39,4999600,-0.015558287745142119,320.1307142857143,323.9409523809524
2020-02-03,2020,2,3,Monday,05,2020-05,316.86,318.84,313.02,314.13,4841800,-0.0071322689958165375,319.1207142857143,323.495
2020-02-04,2020,2,4,Tuesday,05,2020-05,316.4,317.59,313.17,316.06,3779800,0.00613924687021683,318.09785714285715,323.1717391304348
2020-02-05,2020,2,5,Wednesday,05,2020-05,318.6,327.73,317.34,327.6,6071800,0.036516286799221254,318.08,323.35625
2020-02-06,2020,2,6,Thursday,05,2020-05,328.95,341.41,323.73,339.41,12845500,0.036049213657418644,318.7492857142857,323.9984
2020-02-07,2020,2,7,Friday,05,2020-05,338.36,338.72,333.7,334.76,5337800,-0.013707035196708572,319.64428571428573,324.41230769230765
