Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,SPY,SPY,SPY,SPY,SPY,,,
2020-01-02,2020,1,2,Thursday,00,2020-00,298.18,299.42,297.25,299.41,59151200,0.0,299.41,299.41
2020-01-03,2020,1,3,Friday,00,2020-00,295.99,298.27,295.93,297.14,77709700,-0.007572151524572024,298.275,298.275
2020-01-06,2020,1,6,Monday,01,2020-01,295.37,298.36,295.25,298.27,55653900,0.0038149632420152457,298.2733333333333,298.2733333333333
2020-01-07,2020,1,7,Tuesday,01,2020-01,297.7,298.18,296.98,297.43,40496400,-0.0028114946021534637,298.0625,298.0625
2020-01-08,2020,1,8,Wednesday,01,2020-01,297.63,300.25,297.38,299.02,68296000,0.005329290237162221,298.254,298.254
2020-01-09,2020,1,9,Thursday,01,2020-01,300.6,301.12,300.01,301.05,48473300,0.006780484753069027,298.71999999999997,298.71999999999997
2020-01-10,2020,1,10,Friday,01,2020-01,301.64,301.79,299.71,300.18,53029300,-0.0028776332265012528,298.92857142857144,298.92857142857144
2020-01-13,2020,1,13,Monday,02,2020-02,300.81,302.25,300.37,302.24,47086800,0.0068772692055369955,299.3425,299.3425
2020-01-14,2020,1,14,Tuesday,02,2020-02,301.8,302.86,301.22,301.78,62832800,-0.0015243391433975573,299.61333333333334,299.61333333333334
2020-01-15,2020,1,15,Wednesday,02,2020-02,301.69,303.23,301.61,302.47,72056600,0.0022597128670049926,299.899,299.899
2020-01-16,2020,1,16,Thursday,02,2020-02,303.86,304.98,303.63,304.98,54050300,0.008318457084919961,300.3609090909091,300.3609090909091
2020-01-17,2020,1,17,Friday,02,2020-02,305.7,306.14,304.92,305.93,95846000,0.003112373556071857,300.825,300.825
2020-01-21,2020,1,21,Tuesday,03,2020-03,304.96,306.14,304.89,305.33,77742400,-0.001958151030602928,301.1715384615385,301.1715384615385
2020-01-22,2020,1,22,Wednesday,03,2020-03,306.2,306.85,305.21,305.37,48914900,0.00012073802517176269,301.4714285714286,301.4714285714286
2020-01-23,2020,1,23,Thursday,03,2020-03,304.72,306.13,303.59,305.72,51963000,0.001147072641238145,301.92214285714283,301.75466666666665
2020-01-24,2020,1,24,Friday,03,2020-03,306.38,306.47,301.7,303.0,87578400,-0.008893253112279176,302.3407142857142,301.8325
2020-01-27,2020,1,27,Monday,04,2020-04,297.71,299.64,297.37,298.14,84062500,-0.016029445060837588,302.33142857142855,301.61529411764707
2020-01-28,2020,1,28,Tuesday,04,2020-04,299.58,302.15,298.24,301.27,63834000,0.010479062755640589,302.60571428571427,301.5961111111111
2020-01-29,2020,1,29,Wednesday,04,2020-04,302.64,302.87,300.82,301.02,53888900,-0.0008259764634187539,302.7485714285714,301.5657894736842
2020-01-30,2020,1,30,Thursday,04,2020-04,298.94,302.21,298.18,302.0,75491800,0.003245098895983123,302.8164285714286,301.5875
2020-01-31,2020,1,31,Friday,04,2020-04,301.37,301.53,295.59,296.51,113845600,-0.0181574883180321,302.55428571428575,301.3457142857143
2020-02-03,2020,2,3,Monday,05,2020-05,298.01,300.6,297.89,298.72,69083000,0.00742868246638273,302.30285714285714,301.2263636363636
2020-02-04,2020,2,4,Tuesday,05,2020-05,302.36,304.14,302.03,303.27,62573200,0.015241152142629,302.40928571428566,301.3152173913044
2020-02-05,2020,2,5,Wednesday,05,2020-05,306.23,306.98,304.75,306.77,65951100,0.011548191207696679,302.71642857142854,301.5425
2020-02-06,2020,2,6,Thursday,05,2020-05,307.74,308.0,306.71,307.8,50359700,0.00336462086536482,302.91785714285714,301.7928
2020-02-07,2020,2,7,Friday,05,2020-05,306.73,307.81,305.61,306.16,64139400,-0.005329628421142041,302.9342857142857,301.9607692307692
2020-02-10,2020,2,10,Monday,06,2020-06,305.27,308.51,305.23,308.45,42070000,0.007465276704855972,303.15714285714284,302.2011111111111
2020-02-11,2020,2,11,Tuesday,06,2020-06,309.81,310.6,308.45,308.98,54864500,0.001733218510987511,303.415,302.4432142857143
2020-02-12,2020,2,12,Wednesday,06,2020-06,310.43,311.18,310.06,310.97,43992700,0.006442742252975586,303.78999999999996,302.7372413793103
2020-02-13,2020,2,13,Thursday,06,2020-06,309.53,311.62,309.26,310.64,54501900,-0.0010672272709295605,304.3357142857143,303.0006666666667
2020-02-14,2020,2,14,Friday,06,2020-06,311.06,311.26,309.85,311.14,64582200,0.0016026003130733546,305.2642857142857,303.2632258064516
2020-02-18,2020,2,18,Tuesday,07,2020-07,310.13,311.2,308.94,310.34,57226200,-0.0025772419803253843,305.9121428571429,303.484375
2020-02-19,2020,2,19,Wednesday,07,2020-07,311.31,312.5,311.03,311.82,48814700,0.004781141807859601,306.6835714285714,303.7369696969697
2020-02-20,2020,2,20,Thursday,07,2020-07,311.27,312.1,307.53,310.54,74163400,-0.004108345300266492,307.2935714285714,303.9370588235294
2020-02-21,2020,2,21,Friday,07,2020-07,309.18,309.49,306.51,307.34,113788200,-0.01029819784485897,308.0671428571428,304.0342857142857
2020-02-24,2020,2,24,Monday,08,2020-08,297.81,307.42,296.06,297.15,161088400,-0.03316522968147351,307.955,303.84305555555557
2020-02-25,2020,2,25,Tuesday,08,2020-08,298.55,299.17,287.26,288.14,218913200,-0.030302364299833573,306.8742857142857,303.4186486486486
2020-02-26,2020,2,26,Wednesday,08,2020-08,289.55,293.18,286.35,287.08,194773800,-0.003678175284449914,305.46785714285716,302.9886842105263
2020-02-27,2020,2,27,Thursday,08,2020-08,281.52,287.14,274.19,274.19,284353500,-0.044911647814579125,303.0671428571428,302.25025641025644
2020-02-28,2020,2,28,Friday,08,2020-08,266.07,274.54,263.16,273.04,384975800,-0.004201369685695289,300.70142857142855,301.52
