Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AMZN,AMZN,AMZN,AMZN,AMZN,,,
2020-01-02,2020,1,2,Thursday,00,2020-00,93.75,94.9,93.21,94.9,80580000,0.0,94.9,94.9
2020-01-03,2020,1,3,Friday,00,2020-00,93.22,94.31,93.22,93.75,75288000,-0.012139034655920922,94.325,94.325
2020-01-06,2020,1,6,Monday,01,2020-01,93.0,95.18,93.0,95.14,81236000,0.01488557393050649,94.59666666666668,94.59666666666668
2020-01-07,2020,1,7,Tuesday,01,2020-01,95.22,95.69,94.6,95.34,80898000,0.0020916204156393725,94.7825,94.7825
2020-01-08,2020,1,8,Wednesday,01,2020-01,94.9,95.55,94.32,94.6,70160000,-0.007808640261289357,94.74600000000001,94.74600000000001
2020-01-09,2020,1,9,Thursday,01,2020-01,95.49,95.89,94.79,95.05,63346000,0.0047991747864684076,94.79666666666667,94.79666666666667
2020-01-10,2020,1,10,Friday,01,2020-01,95.27,95.35,94.0,94.16,57074000,-0.009410596802031268,94.7057142857143,94.7057142857143
2020-01-13,2020,1,13,Monday,02,2020-02,94.57,94.9,94.04,94.57,55616000,0.004322578245699482,94.68875,94.68875
2020-01-14,2020,1,14,Tuesday,02,2020-02,94.29,94.36,92.93,93.47,68818000,-0.011558211718052602,94.55333333333334,94.55333333333334
2020-01-15,2020,1,15,Wednesday,02,2020-02,93.61,93.94,92.75,93.1,57932000,-0.003969126548924895,94.40799999999999,94.40799999999999
2020-01-16,2020,1,16,Thursday,02,2020-02,94.15,94.28,93.3,93.9,53190000,0.00854991102959346,94.36181818181818,94.36181818181818
2020-01-17,2020,1,17,Friday,02,2020-02,94.29,94.33,92.86,93.24,79946000,-0.00703966144232826,94.26833333333333,94.26833333333333
2020-01-21,2020,1,21,Tuesday,03,2020-03,93.25,94.71,93.0,94.6,74156000,0.014629525206926841,94.29384615384615,94.29384615384615
2020-01-22,2020,1,22,Wednesday,03,2020-03,94.8,95.12,94.17,94.37,64326000,-0.0023995494624704516,94.29928571428572,94.29928571428572
2020-01-23,2020,1,23,Thursday,03,2020-03,94.26,94.5,93.64,94.23,49692000,-0.0015259112256781338,94.25142857142858,94.29466666666667
2020-01-24,2020,1,24,Friday,03,2020-03,94.57,94.75,92.37,93.08,75324000,-0.012172426638861644,94.20357142857142,94.21875
2020-01-27,2020,1,27,Monday,04,2020-04,91.0,92.05,90.77,91.42,70570000,-0.01788746376771211,93.93785714285715,94.05411764705883
2020-01-28,2020,1,28,Tuesday,04,2020-04,92.03,92.91,91.5,92.66,56160000,0.01362436592451366,93.74642857142855,93.97666666666666
2020-01-29,2020,1,29,Wednesday,04,2020-04,93.2,93.74,92.75,92.9,41760000,0.0025630978623367717,93.625,93.92
2020-01-30,2020,1,30,Thursday,04,2020-04,92.9,93.64,92.53,93.53,126548000,0.006824489189870775,93.51642857142858,93.9005
2020-01-31,2020,1,31,Friday,04,2020-04,102.57,102.79,100.11,100.44,311346000,0.07379135586484753,93.965,94.21190476190476
2020-02-03,2020,2,3,Monday,05,2020-05,100.53,102.43,100.01,100.21,117834000,-0.0022501685803328897,94.36785714285715,94.48454545454545
2020-02-04,2020,2,4,Tuesday,05,2020-05,101.49,102.99,100.77,102.48,105786000,0.022687342140775613,95.01142857142857,94.83217391304348
2020-02-05,2020,2,5,Wednesday,05,2020-05,103.55,103.55,101.6,101.99,87524000,-0.004781236737139594,95.64642857142857,95.13041666666668
2020-02-06,2020,2,6,Thursday,05,2020-05,102.05,102.82,101.24,102.51,63660000,0.0050787328892443195,96.26142857142857,95.42559999999999
