Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,JNJ,JNJ,JNJ,JNJ,JNJ,,,
2020-01-02,2020,1,2,Thursday,00,2020-00,123.99,124.12,123.32,124.07,5777000,0.0,124.07,124.07
2020-01-03,2020,1,3,Friday,00,2020-00,121.97,123.56,121.55,122.64,5752400,-0.011577805250670314,123.35499999999999,123.35499999999999
2020-01-06,2020,1,6,Monday,01,2020-01,122.4,122.57,121.42,122.48,7731300,-0.001247588450842163,123.06333333333333,123.06333333333333
2020-01-07,2020,1,7,Tuesday,01,2020-01,122.41,123.63,120.17,123.23,7382900,0.006106704948755537,123.105,123.105
2020-01-08,2020,1,8,Wednesday,01,2020-01,123.14,124.08,122.14,123.21,6605800,-0.00013781408656843297,123.126,123.126
2020-01-09,2020,1,9,Thursday,01,2020-01,123.89,124.12,123.24,123.58,6112700,0.002966197644094448,123.20166666666667,123.20166666666667
2020-01-10,2020,1,10,Friday,01,2020-01,123.89,124.25,123.16,123.3,5042600,-0.002269310297716265,123.21571428571428,123.21571428571428
2020-01-13,2020,1,13,Monday,02,2020-02,123.66,123.92,123.01,123.84,4593200,0.004411638677158214,123.29375,123.29375
2020-01-14,2020,1,14,Tuesday,02,2020-02,123.29,124.62,123.02,124.54,7037500,0.005628122302465011,123.43222222222224,123.43222222222224
2020-01-15,2020,1,15,Wednesday,02,2020-02,124.44,125.29,124.3,124.96,4960300,0.0033442029629184855,123.585,123.585
2020-01-16,2020,1,16,Thursday,02,2020-02,125.31,126.51,124.27,125.97,6476000,0.008094705452804885,123.80181818181818,123.80181818181818
2020-01-17,2020,1,17,Friday,02,2020-02,126.15,127.0,125.74,126.79,9083600,0.006545176294647792,124.05083333333333,124.05083333333333
2020-01-21,2020,1,21,Tuesday,03,2020-03,126.29,127.64,126.22,126.88,9543900,0.0006703770773279771,124.26846153846154,124.26846153846154
2020-01-22,2020,1,22,Wednesday,03,2020-03,124.69,126.8,124.1,126.01,10305300,-0.006833313429719712,124.39285714285714,124.39285714285714
2020-01-23,2020,1,23,Thursday,03,2020-03,125.83,126.45,124.74,126.25,8671900,0.0018889587247472583,124.54857142857144,124.51666666666667
2020-01-24,2020,1,24,Friday,03,2020-03,126.29,126.61,125.74,126.07,9051900,-0.001414093288822027,124.79357142857143,124.61375
2020-01-27,2020,1,27,Monday,04,2020-04,125.39,127.04,124.95,126.44,7587100,0.0028991837841783052,125.07642857142856,124.72117647058825
