Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,MCD,MCD,MCD,MCD,MCD,,,
2020-01-02,2020,1,2,Thursday,00,2020-00,173.37,175.82,173.2,175.81,3554200,0.0,175.81,175.81
2020-01-03,2020,1,3,Friday,00,2020-00,174.59,175.6,174.11,175.19,2767600,-0.0035359830669962067,175.5,175.5
2020-01-06,2020,1,6,Monday,01,2020-01,174.77,177.55,174.55,177.16,4660400,0.011245520134701703,176.0533333333333,176.0533333333333
2020-01-07,2020,1,7,Tuesday,01,2020-01,176.76,177.47,175.57,177.42,4047400,0.0014828836622342578,176.39499999999998,176.39499999999998
2020-01-08,2020,1,8,Wednesday,01,2020-01,177.42,180.98,177.05,180.3,5284200,0.01618668794687994,177.176,177.176
2020-01-09,2020,1,9,Thursday,01,2020-01,181.13,183.33,180.46,182.43,5971600,0.011850032460451354,178.05166666666665,178.05166666666665
2020-01-10,2020,1,10,Friday,01,2020-01,182.51,182.96,181.49,181.49,2336400,-0.005183533936615303,178.54285714285714,178.54285714285714
2020-01-13,2020,1,13,Monday,02,2020-02,181.58,181.93,180.17,180.82,2784200,-0.003666902584689602,178.8275,178.8275
2020-01-14,2020,1,14,Tuesday,02,2020-02,179.9,181.82,179.9,181.53,2622700,0.00392266961274057,179.1277777777778,179.1277777777778
2020-01-15,2020,1,15,Wednesday,02,2020-02,181.53,184.18,181.53,183.68,3369400,0.01181717857180975,179.583,179.583
2020-01-16,2020,1,16,Thursday,02,2020-02,183.97,184.85,183.19,184.62,2726700,0.005148694653837715,180.04090909090908,180.04090909090908
2020-01-17,2020,1,17,Friday,02,2020-02,185.12,186.3,185.06,185.61,3540400,0.005359275342399217,180.505,180.505
2020-01-21,2020,1,21,Tuesday,03,2020-03,185.08,185.86,184.07,184.89,4100500,-0.003868469886448289,180.84230769230768,180.84230769230768
2020-01-22,2020,1,22,Wednesday,03,2020-03,186.64,187.08,185.11,185.14,2757400,0.0013257205634575886,181.14928571428572,181.14928571428572
2020-01-23,2020,1,23,Thursday,03,2020-03,184.35,186.94,182.67,186.87,3378200,0.009364681246109896,181.93928571428572,181.53066666666666
2020-01-24,2020,1,24,Friday,03,2020-03,187.54,187.54,184.67,184.96,3106300,-0.010214526615449193,182.63714285714286,181.745
2020-01-27,2020,1,27,Monday,04,2020-04,181.99,184.41,181.51,183.3,3389300,-0.008994639069390464,183.07571428571433,181.8364705882353
2020-01-28,2020,1,28,Tuesday,04,2020-04,183.78,185.81,183.76,184.22,3855200,0.005015672937367821,183.5614285714286,181.9688888888889
2020-01-29,2020,1,29,Wednesday,04,2020-04,185.36,189.5,184.58,187.77,5734800,0.019250066905508234,184.095,182.27421052631578
2020-01-30,2020,1,30,Thursday,04,2020-04,187.38,189.78,186.36,189.29,3560700,0.008114159284340339,184.585,182.625
2020-01-31,2020,1,31,Friday,04,2020-04,188.71,190.09,186.63,187.35,3920800,-0.010222928983863344,185.0035714285714,182.85
2020-02-03,2020,2,3,Monday,05,2020-05,188.25,189.9,187.58,188.41,3539200,0.005654874689628553,185.5457142857143,183.1027272727273
2020-02-04,2020,2,4,Tuesday,05,2020-05,189.23,189.74,187.6,187.92,3367900,-0.002602312010836494,186.00214285714284,183.3121739130435
2020-02-05,2020,2,5,Wednesday,05,2020-05,188.82,188.94,186.51,187.7,2911400,-0.0011648514952378175,186.28928571428574,183.495
2020-02-06,2020,2,6,Thursday,05,2020-05,188.01,188.1,186.19,186.39,2903300,-0.006997341031543813,186.4157142857143,183.6108
2020-02-07,2020,2,7,Friday,05,2020-05,186.12,186.36,184.83,185.29,2421600,-0.005918883761443672,186.39285714285714,183.67538461538464
2020-02-10,2020,2,10,Monday,06,2020-06,185.05,186.75,184.97,186.69,2318800,0.007560976031558475,186.52142857142857,183.78703703703704
2020-02-11,2020,2,11,Tuesday,06,2020-06,187.38,189.01,187.07,188.9,2694500,0.011819215678005035,186.79,183.96964285714284
2020-02-12,2020,2,12,Wednesday,06,2020-06,189.13,190.42,188.35,190.41,2844900,0.008019433531177622,187.04285714285714,184.19172413793106
2020-02-13,2020,2,13,Thursday,06,2020-06,189.75,191.22,189.3,190.37,2853400,-0.0001839934659881859,187.4292857142857,184.39766666666668
2020-02-14,2020,2,14,Friday,06,2020-06,190.44,190.74,189.46,190.09,1720400,-0.0015178246815910068,187.91428571428574,184.58129032258066
2020-02-18,2020,2,18,Tuesday,07,2020-07,189.06,190.04,188.84,189.26,2712600,-0.004330172632952545,188.27428571428572,184.7275
2020-02-19,2020,2,19,Wednesday,07,2020-07,189.84,189.94,188.79,188.81,2229500,-0.002405605888905149,188.34857142857143,184.85121212121211
2020-02-20,2020,2,20,Thursday,07,2020-07,189.26,189.7,186.31,188.33,2869400,-0.002550815480265034,188.28,184.95352941176472
2020-02-21,2020,2,21,Friday,07,2020-07,188.47,189.46,187.64,189.02,2791200,0.0036732728483510613,188.39928571428572,185.06971428571427
