Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,NKE,NKE,NKE,NKE,NKE,,,
2020-01-02,2020,1,2,Thursday,00,2020-00,94.1,94.88,93.78,94.88,5644100,0.0,94.88,94.88
2020-01-03,2020,1,3,Friday,00,2020-00,93.38,94.69,93.12,94.62,4541800,-0.002739260721265735,94.75,94.75
2020-01-06,2020,1,6,Monday,01,2020-01,93.71,94.54,93.64,94.53,4612400,-0.0008832061649773904,94.67666666666666,94.67666666666666
2020-01-07,2020,1,7,Tuesday,01,2020-01,94.51,95.38,93.58,94.49,6719900,-0.0004911845448775098,94.63,94.63
2020-01-08,2020,1,8,Wednesday,01,2020-01,94.05,94.82,93.62,94.27,4942200,-0.002259622593609789,94.55799999999999,94.55799999999999
2020-01-09,2020,1,9,Thursday,01,2020-01,94.63,95.07,94.12,94.21,5007500,-0.0006891983375396649,94.5,94.5
2020-01-10,2020,1,10,Friday,01,2020-01,94.59,94.62,93.54,93.67,5135300,-0.005715561122328072,94.38142857142857,94.38142857142857
2020-01-13,2020,1,13,Monday,02,2020-02,93.76,95.01,93.59,94.84,6722400,0.012487849521238159,94.43875,94.43875
2020-01-14,2020,1,14,Tuesday,02,2020-02,95.11,96.44,95.01,95.54,5088500,0.00743905508747722,94.5611111111111,94.5611111111111
2020-01-15,2020,1,15,Wednesday,02,2020-02,95.85,96.27,95.14,95.42,4209200,-0.0012628679375518148,94.647,94.647
2020-01-16,2020,1,16,Thursday,02,2020-02,95.51,96.15,95.48,95.96,6571700,0.005642559190384366,94.76636363636364,94.76636363636364
2020-01-17,2020,1,17,Friday,02,2020-02,96.02,97.06,95.93,97.04,6271200,0.011221798717283793,94.95583333333333,94.95583333333333
2020-01-21,2020,1,21,Tuesday,03,2020-03,96.78,97.19,96.37,97.08,4854700,0.0004781827357791535,95.11923076923077,95.11923076923077
2020-01-22,2020,1,22,Wednesday,03,2020-03,97.47,98.05,96.94,97.0,5031400,-0.0008606633095663563,95.25357142857142,95.25357142857142
2020-01-23,2020,1,23,Thursday,03,2020-03,96.57,96.89,95.27,95.64,7102900,-0.014068377693865819,95.30785714285716,95.27933333333334
2020-01-24,2020,1,24,Friday,03,2020-03,96.17,96.44,94.37,94.72,3839300,-0.009609860194252251,95.31500000000001,95.244375
2020-01-27,2020,1,27,Monday,04,2020-04,91.17,93.49,90.99,93.06,9841400,-0.017543674527507047,95.21000000000001,95.11588235294118
2020-01-28,2020,1,28,Tuesday,04,2020-04,93.15,93.81,92.39,93.21,5673200,0.001696074612525189,95.11857142857143,95.01
2020-01-29,2020,1,29,Wednesday,04,2020-04,93.83,94.04,92.06,92.68,4503700,-0.005676939816858795,95.005,94.88736842105263
2020-01-30,2020,1,30,Thursday,04,2020-04,91.92,92.6,90.39,91.15,7065100,-0.016526324844227336,94.78642857142857,94.7005
2020-01-31,2020,1,31,Friday,04,2020-04,91.08,91.39,89.05,89.4,8780300,-0.01924838468947776,94.48142857142857,94.44809523809525
2020-02-03,2020,2,3,Monday,05,2020-05,91.9,93.69,91.51,92.16,9727000,0.030840932387301567,94.28999999999999,94.34409090909092
2020-02-04,2020,2,4,Tuesday,05,2020-05,94.61,95.41,94.0,94.11,6559600,0.021255393056255345,94.18785714285715,94.33391304347825
