Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,NVDA,NVDA,NVDA,NVDA,NVDA,,,
2020-01-02,2020,1,2,Thursday,00,2020-00,5.94,5.97,5.89,5.97,237536000,0.0,5.97,5.97
2020-01-03,2020,1,3,Friday,00,2020-00,5.85,5.92,5.83,5.88,205384000,-0.016006045218077913,5.925,5.925
2020-01-06,2020,1,6,Monday,01,2020-01,5.78,5.91,5.76,5.9,262636000,0.004193543962988766,5.916666666666667,5.916666666666667
2020-01-07,2020,1,7,Tuesday,01,2020-01,5.93,6.02,5.88,5.97,314856000,0.01210681460472407,5.93,5.93
2020-01-08,2020,1,8,Wednesday,01,2020-01,5.97,6.02,5.93,5.98,277108000,0.0018755988502074938,5.9399999999999995,5.9399999999999995
2020-01-09,2020,1,9,Thursday,01,2020-01,6.07,6.12,6.0,6.05,255112000,0.010982435530930923,5.958333333333333,5.958333333333333
2020-01-10,2020,1,10,Friday,01,2020-01,6.16,6.19,6.07,6.08,316296000,0.005349187074290551,5.975714285714285,5.975714285714285
2020-01-13,2020,1,13,Monday,02,2020-02,6.16,6.3,6.14,6.27,319840000,0.03135257271381153,6.0125,6.0125
2020-01-14,2020,1,14,Tuesday,02,2020-02,6.23,6.25,6.14,6.15,359088000,-0.01865248606552794,6.027777777777778,6.027777777777778
2020-01-15,2020,1,15,Wednesday,02,2020-02,6.17,6.19,6.09,6.11,263104000,-0.0069151982358377495,6.036,6.036
2020-01-16,2020,1,16,Thursday,02,2020-02,6.17,6.2,6.14,6.2,284192000,0.013682522081349235,6.050909090909091,6.050909090909091
2020-01-17,2020,1,17,Friday,02,2020-02,6.22,6.22,6.16,6.2,253792000,0.0014062107384413824,6.0633333333333335,6.0633333333333335
2020-01-21,2020,1,21,Tuesday,03,2020-03,6.17,6.2,6.14,6.17,217916000,-0.005375552843028597,6.071538461538462,6.071538461538462
2020-01-22,2020,1,22,Wednesday,03,2020-03,6.22,6.31,6.2,6.23,239240000,0.008752127744239502,6.082857142857143,6.082857142857143
2020-01-23,2020,1,23,Thursday,03,2020-03,6.27,6.3,6.18,6.29,244516000,0.010995083176814191,6.105714285714286,6.096666666666667
2020-01-24,2020,1,24,Friday,03,2020-03,6.41,6.46,6.18,6.23,373512000,-0.009412280968921216,6.130714285714286,6.105
2020-01-27,2020,1,27,Monday,04,2020-04,5.93,6.03,5.78,5.98,470536000,-0.04104118995060224,6.136428571428572,6.097647058823529
2020-01-28,2020,1,28,Tuesday,04,2020-04,6.04,6.2,5.99,6.17,310976000,0.032347901710411575,6.150714285714286,6.101666666666667
