Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,SPY,SPY,SPY,SPY,SPY,,,
2020-01-02,2020,1,2,Thursday,00,2020-00,297.36,298.6,296.43,298.58,59151200,0.0,298.58,298.58
2020-01-03,2020,1,3,Friday,00,2020-00,295.17,297.45,295.11,296.32,77709700,-0.0075720888740253844,297.45,297.45
2020-01-06,2020,1,6,Monday,01,2020-01,294.55,297.53,294.43,297.45,55653900,0.003814828447552987,297.45,297.45
2020-01-07,2020,1,7,Tuesday,01,2020-01,296.88,297.36,296.16,296.61,40496400,-0.0028116969465720176,297.24,297.24
2020-01-08,2020,1,8,Wednesday,01,2020-01,296.8,299.42,296.56,298.19,68296000,0.005329559154917174,297.43,297.43
2020-01-09,2020,1,9,Thursday,01,2020-01,299.76,300.29,299.18,300.21,48473300,0.00678075867618011,297.8933333333333,297.8933333333333
2020-01-10,2020,1,10,Friday,01,2020-01,300.8,300.96,298.88,299.35,53029300,-0.0028776813140499735,298.1014285714286,298.1014285714286
2020-01-13,2020,1,13,Monday,02,2020-02,299.98,301.42,299.54,301.41,47086800,0.006877371834898671,298.515,298.515
2020-01-14,2020,1,14,Tuesday,02,2020-02,300.97,302.03,300.39,300.95,62832800,-0.0015247171441630236,298.78555555555556,298.78555555555556
2020-01-15,2020,1,15,Wednesday,02,2020-02,300.86,302.39,300.78,301.63,72056600,0.0022599948263590797,299.07,299.07
2020-01-16,2020,1,16,Thursday,02,2020-02,303.02,304.14,302.79,304.14,54050300,0.008318145201842153,299.5309090909091,299.5309090909091
2020-01-17,2020,1,17,Friday,02,2020-02,304.86,305.3,304.07,305.09,95846000,0.0031123730424624796,299.9941666666667,299.9941666666667
2020-01-21,2020,1,21,Tuesday,03,2020-03,304.12,305.3,304.05,304.49,77742400,-0.001957978190959775,300.34000000000003,300.34000000000003
2020-01-22,2020,1,22,Wednesday,03,2020-03,305.35,306.0,304.37,304.53,48914900,0.0001207720632268039,300.6392857142857,300.6392857142857
2020-01-23,2020,1,23,Thursday,03,2020-03,303.87,305.29,302.75,304.87,51963000,0.0011468453035561321,301.0885714285714,300.92133333333334
2020-01-24,2020,1,24,Friday,03,2020-03,305.54,305.62,300.87,302.16,87578400,-0.008892984490079248,301.5057142857143,300.99875
2020-01-27,2020,1,27,Monday,04,2020-04,296.89,298.81,296.55,297.32,84062500,-0.016029442657918946,301.49642857142857,300.7823529411765
2020-01-28,2020,1,28,Tuesday,04,2020-04,298.75,301.32,297.41,300.44,63834000,0.010478756730258443,301.77,300.7633333333333
2020-01-29,2020,1,29,Wednesday,04,2020-04,301.8,302.03,299.98,300.19,53888900,-0.0008256254305634148,301.91285714285715,300.73315789473685
2020-01-30,2020,1,30,Thursday,04,2020-04,298.11,301.37,297.36,301.16,75491800,0.003245250103441011,301.98071428571427,300.7545
2020-01-31,2020,1,31,Friday,04,2020-04,300.54,300.69,294.77,295.69,113845600,-0.018158065722972516,301.7192857142857,300.5133333333333
2020-02-03,2020,2,3,Monday,05,2020-05,297.18,299.76,297.06,297.89,69083000,0.007428637481087241,301.46785714285716,300.3940909090909
2020-02-04,2020,2,4,Tuesday,05,2020-05,301.52,303.3,301.2,302.43,62573200,0.015241099540857395,301.5735714285714,300.4826086956522
2020-02-05,2020,2,5,Wednesday,05,2020-05,305.38,306.13,303.91,305.92,65951100,0.011548222453862333,301.88,300.7091666666667
2020-02-06,2020,2,6,Thursday,05,2020-05,306.89,307.14,305.87,306.95,50359700,0.0033647721227283434,302.0807142857143,300.9588
2020-02-07,2020,2,7,Friday,05,2020-05,305.89,306.96,304.76,305.32,64139400,-0.005329590841606335,302.0971428571429,301.1265384615385
2020-02-10,2020,2,10,Monday,06,2020-06,304.42,307.66,304.39,307.59,42070000,0.007465283139906909,302.31857142857143,301.3659259259259
2020-02-11,2020,2,11,Tuesday,06,2020-06,308.96,309.75,307.59,308.13,54864500,0.0017332614762348708,302.5757142857143,301.6075
2020-02-12,2020,2,12,Wednesday,06,2020-06,309.57,310.32,309.2,310.11,43992700,0.006442578362468421,302.95,301.9006896551724
2020-02-13,2020,2,13,Thursday,06,2020-06,308.68,310.76,308.4,309.78,54501900,-0.001067037152830408,303.4942857142857,302.1633333333333
2020-02-14,2020,2,14,Friday,06,2020-06,310.2,310.4,308.99,310.28,64582200,0.0016022161494404497,304.42,302.4251612903226
2020-02-18,2020,2,18,Tuesday,07,2020-07,309.28,310.34,308.08,309.48,57226200,-0.0025770113395974237,305.0657142857143,302.645625
2020-02-19,2020,2,19,Wednesday,07,2020-07,310.45,311.64,310.17,310.96,48814700,0.004781183873034944,305.83500000000004,302.89757575757574
